Data  {
	RV[] "14Her_1.vels"
	RV[] "14Her_2.vels"
}
"14Her" {    
  Mass   1.00
}
2453428.142     -57.4732      2.25043
2453428.143     -56.1000      2.28006
2453428.144     -58.2408      2.17181
2453547.978     -87.1776      2.01356
2453547.980     -87.7466      1.85775
2453547.982     -88.4186      2.15215
2450605.9115	-83.2	2.1
2450862.1412	-43.1	2.2
2450956.0369	-29.2	2.3
2451009.8790	-7.3	2.5
2451069.7490	10.3	2.1
2451073.8392	14.2	2.8
2451173.1752	48.7	2.3
2451200.1776	56.6	2.1
2451227.1375	65.1	2.0
2451310.9956	91.8	2.3
2451314.0771	91.7	2.4
2451340.9326	92.1	1.0
2451367.8354	83.6	2.3
2451373.9145	83.7	2.4
2451409.8196	71.6	2.4
2451410.7740	65.8	2.2
2451411.7784	68.8	2.0
2451438.7136	52.9	2.4
2451581.1600	-15.3	2.2
2451586.1584	-19.6	2.4
2451680.0536	-47.1	2.2
2451702.9464	-57.0	2.2
2451755.7947	-63.1	2.1
2451983.1538	-85.1	2.5
2452003.9924	-89.0	2.7
2452009.0651	-77.5	2.6
2452030.9380	-92.2	3.1
2452061.9081	-84.7	2.9
2452062.9240	-78.1	2.8
2452096.8833	-80.7	3.0
2452128.8263	-87.0	2.5
2452161.7864	-84.8	2.7
2452390.0598	-70.1	3.0
2452446.8697	-68.1	2.7
2452486.7329	-60.4	2.3
Data  {
	RV[] "14Her_CORALIE04.vels"
	RV[] "14Her_B06K.vels"
}
"14Her_B06K" {    
  Mass   1.00
}
2450546.1118   -56.30   2.30
2450605.9115   -49.60   1.90
2450862.1412   -12.70   2.30
2450956.0369     4.90   2.20
2451009.8790    23.10   2.40
2451069.7490    43.30   2.00
2451073.8392    45.10   2.10
2451173.1752    85.20   2.20
2451200.1776    91.80   2.10
2451227.1375    96.70   2.20
2451310.9956   121.80   2.70
2451314.0771   122.10   2.60
2451340.9311   124.60   1.00
2451367.8354   118.20   2.30
2451373.9145   117.80   2.50
2451409.8196   101.80   2.20
2451410.7740   100.10   2.10
2451411.7784   102.10   2.00
2451438.7136    86.50   2.10
2451581.1600    11.40   2.10
2451586.1584     9.90   2.40
2451680.0536   -14.30   2.10
2451702.9464   -22.70   2.30
2451755.7947   -31.20   1.90
2451983.1538   -53.90   2.30
2452003.0427   -64.70   5.40
2452003.9924   -53.40   2.60
2452009.0651   -54.00   2.40
2452030.9380   -60.30   2.60
2452061.9081   -55.10   2.80
2452062.9240   -51.70   2.60
2452096.8833   -50.90   2.50
2452128.8263   -55.60   2.70
2452161.7864   -55.20   2.30
2452390.0598   -42.30   2.80
2452446.8697   -36.50   2.30
2452486.7329   -26.90   2.60
2452536.7613   -24.40   2.40
2452712.1648     7.40   2.40
2452777.0052    19.80   2.60
2452804.9039    27.10   2.40
2452833.8785    35.10   2.50
2452848.7350    44.60   2.70
2452898.7976    56.50   2.20
2453181.9541    90.60   2.50
2453195.8071    86.10   2.20
2453238.8199    58.70   2.30
2453428.1434   -34.30   1.30
2453547.9794   -63.70   1.20
Data  {
	RV[] "14Her_CORALIE04.vels"
	RV[] "14Her_B06K.vels"
	RV[] "14Her_HJS06.vels"
}
"14Her_B06K_3datasets" {    
  Mass   1.00
}
2449464.5956   43.5  8.0
2449531.4302   74.5  7.0
2449752.6051   23.5  8.0
2449755.7183   13.5  7.0
2449766.7061   34.5  7.0
2449820.6112  -18.5  8.0
2449851.5208  -41.5  8.0
2449904.4072  -37.5  7.0
2449907.4065  -38.5  7.0
2449970.3277  -26.5  7.0
2450021.2673  -70.5  7.0
2450027.2444  -56.5  7.0
2450091.6909  -61.5  7.0
2450148.5611  -71.5  7.0
2450150.6383  -75.5  7.0
2450207.5116  -81.5  7.0
2450212.5237  -76.5  7.0
2450263.5103  -76.5  7.0
2450265.4403  -95.5  7.0
2450267.4670  -74.5  7.0
2450324.3571  -57.5  7.0
2450380.2417  -62.5  7.0
2450382.2442  -60.5  7.0
2450474.7151  -80.5  7.0
2450474.7239  -82.5  7.0
2450531.6407  -41.5  7.0
2450531.6528  -44.5  7.0
2450535.6413  -47.5  7.0
2450561.5672  -73.5  7.0
2450579.5503  -56.5  7.0
2450623.4879  -64.5  7.0
2450678.3287  -39.5  7.0
2450701.3046  -44.5  7.0
2450730.3173  -31.5  8.0
2450731.3017  -37.5  7.0
2450821.7229   23.5  7.0
2450858.6915   -9.5  7.0
2450861.7002    0.5  7.0
2450885.6643    5.5  8.0
2450887.6508    4.5  8.0
2450911.5831   20.5  9.0
2450911.5996    8.5  8.0
2450912.5399   -6.5  7.0
2450939.5857    5.5  7.0
2450941.5499   12.5  7.0
2450967.4309   16.5  7.0
2450973.4289   12.5  7.0
2451023.3664   28.5  8.0
2451023.3788   19.5  8.0
2451030.3506   32.5  7.0
2451036.3833   34.5  7.0
2451054.3182   41.5  7.0
2451088.2796   50.5  7.0
2451234.7105  117.5  7.0
2451235.7013  113.5  7.0
2451236.6831  109.5  7.0
2451266.6518  129.5  8.0
2451268.5184  122.5  7.0
2451299.5955  132.5  7.0
2451304.5558  127.5  7.0
2451305.5625  122.5  7.0
2451322.5027  112.5  7.0
2451323.5112  125.5  7.0
2451325.5424  114.5  7.0
2451353.3998  116.5  7.0
2451358.3927  127.5  7.0
2451391.3999  107.5  7.0
2451392.3716  106.5  7.0
2451394.3629  107.5  7.0
2451416.3193  106.5  7.0
2451417.3422   91.5  7.0
2451418.3245  102.5  7.0
2451438.3142   93.5  7.0
2451442.3108   84.5  7.0
2451466.2689   69.5  7.0
2451625.6693   12.5  7.0
2451653.5905  -14.5  7.0
2451655.6391   -5.5  7.0
2451687.5356  -23.5  7.0
2451691.4347  -22.5  8.0
2451722.4487  -31.5  7.0
2451727.4612  -27.5  8.0
2451754.3940  -36.5  7.0
2451780.3345  -39.5  7.0
2451783.3471  -32.5  7.0
2451802.2990  -43.5  7.0
2451804.3121  -49.5  7.0
2451954.7185  -41.5  7.0
2451956.6976  -43.5  7.0
2451977.6726  -45.5  8.0
2451979.6613  -40.5  8.0
2452009.6008  -53.5  8.0
2452010.5804  -43.5  8.0
2452038.5590  -66.5  7.0
2452078.4428  -62.5  8.0
2452079.5054  -53.5  7.0
2452081.4194  -55.5  7.0
2452111.3670  -49.5  7.0
2452113.3488  -44.5  7.0
2452139.3667  -42.5  7.0
2452158.3029  -51.5  8.0
2452162.3537  -46.5  8.0
2452193.2647  -46.5  7.0
2452196.2606  -48.5  7.0
2452356.6840  -38.5  8.0
2452357.6368  -22.5  9.0
2452389.5244  -40.5  7.0
2452413.5760  -22.5  7.0
2452450.4329  -34.5  7.0
2452482.3489  -23.5  7.0
2452509.3503  -28.5  7.0
2452513.3804  -37.5  9.0
2452722.6296   28.5  7.0
2452747.5755   15.5  7.0
2452751.5690   12.5  7.0
2452772.5602   29.5  7.0
2452776.5160   24.5  7.0
2452805.4363   38.5  7.0
2452856.4222   40.5  7.0
2451329.82953   154.3   7.4
2451358.76587   148.8   6.5
2451417.72632   127.8   7.5
2451449.62644   106.7   6.9
2451656.89886    11.7   7.3
2451689.69367    -0.5   7.2
2451750.74058    -0.8   8.0
